number,inlet_MaximumInscribedSphereRadius,outlet_MaximumInscribedSphereRadius,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180
2.0,1.405,1.116,1.0024,0.98671,1.0787,1.1952,1.3274,1.4496,1.4518,1.4693,1.4563,1.456,1.4278,1.4268,1.5893,1.851,2.1907,2.2304,2.6749,2.9648,3.5869,3.7133,3.9391,4.145,4.3798,4.4918,4.4911,4.4246,3.6255,3.0146,2.861,2.5813,2.3241,2.0843,1.9647,1.9531,1.9857,1.9852,1.9872,1.9649,1.9623,1.9622,1.9589,1.9545,1.9495,1.9416,1.9366,1.9285,1.9013,1.8662,1.8538,1.854,1.8539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,1.6133,2.0896,2.1918,2.2155,2.2945,2.3849,2.4703,2.5711,2.5683,2.4941,2.3714,2.4281,2.766,2.9798,3.1273,3.377,3.3773,3.4466,3.4736,3.474,3.735,3.7362,3.7373,3.9674,4.3349,4.5714,4.5723,1.9345,1.9192,1.695,1.8192,1.9825,1.7214,1.7137,1.697,1.7061,1.6804,1.5952,1.594,1.5506,1.4513,1.4483,1.3673,1.3697,1.5236,1.4885,1.4774,1.5223,1.53,1.5429,1.5867,1.5935,1.5803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.4829,1.4714,1.4543,1.4356,1.4314,1.4432,1.4459,1.4639,1.4815,1.5007,1.4903,0.88963,0.92214,1.0843,1.5584,1.5654,2.3668,2.6691,2.849,2.9891,3.2017,3.2405,3.269,3.3414,3.7222,3.7303,4.077,4.1204,4.1506,4.1882,4.185,3.8591,3.7456,3.3248,1.9382,1.7796,1.7289,1.7216,1.7495,1.8759,1.8962,1.9441,1.9605,1.9637,1.9712,1.9855,1.9858,1.975,1.9751,1.971,1.9305,1.8629,1.8335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,2.0005,1.8978,1.8888,1.7265,1.6588,1.5748,1.527,1.512,1.5215,1.5274,1.5511,1.6384,1.738,1.883,2.0462,2.2574,2.7576,2.8865,3.0541,3.225,3.698,3.7299,3.8962,3.9778,4.0262,4.0593,4.0691,4.1278,4.0434,3.8281,2.7699,2.4654,2.2745,1.9327,1.7127,1.6869,1.6494,1.6246,1.6166,1.6204,1.6245,1.7112,1.7341,1.7467,1.7905,1.812,1.8424,1.8569,1.8686,1.9218,1.945,1.9566,1.9733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,1.8861,1.8961,1.7902,1.7629,1.6991,1.6486,1.6424,1.6247,1.5887,1.6003,1.6091,1.5281,1.5256,1.4911,1.4892,1.5032,1.5242,1.5333,1.5335,1.5657,1.6391,1.6398,1.701,1.7018,1.7549,1.8103,1.8991,1.9145,2.2248,2.6236,2.6987,2.3634,2.3717,2.2181,2.644,2.2466,2.0821,1.5908,1.8387,2.7568,3.6932,3.9117,3.9046,3.4654,2.1604,1.5605,1.3433,1.2744,1.2929,1.3948,1.5264,1.5959,1.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,1.5189,1.5375,1.5706,1.5831,1.6098,1.6149,1.6344,1.6813,1.7005,1.7319,1.8042,1.891,1.9323,1.9401,1.9453,1.9369,1.9348,1.8538,1.7809,1.7666,1.7813,1.8367,1.8824,2.1992,2.3797,2.5461,2.5431,2.5272,2.2842,2.0784,2.0782,1.9666,1.9662,1.9238,1.7905,1.7715,1.5772,1.5798,1.5859,1.6008,1.6006,1.6261,1.6529,1.7128,1.7369,1.7585,1.7585,1.7695,1.8059,1.8064,1.8345,1.8463,1.9388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,1.5959,1.6056,1.6248,1.6213,1.528,1.4542,1.529,1.4691,1.4325,1.5136,1.9444,1.9954,1.9065,1.7249,1.1015,1.0992,1.6853,1.7409,1.9395,2.0095,2.0835,2.0863,2.7657,3.0982,3.3542,3.417,5.2058,5.2368,5.2373,5.243,5.1532,5.0725,5.0484,4.9499,4.9014,4.8896,4.732,4.0499,3.8846,3.4958,3.1141,2.662,2.3258,2.2263,2.1397,2.1058,2.1256,2.3006,2.4585,2.4951,2.5357,2.5739,2.5906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,1.6033,1.6032,1.605,1.596,1.5738,1.5466,1.5243,1.5173,1.4765,1.4898,1.4758,1.5533,1.6017,1.6038,1.6994,1.7099,1.8652,2.0731,2.0742,2.1202,2.1555,2.3127,2.4079,2.5874,2.5881,2.8248,2.7099,1.9875,1.9869,1.9518,1.8271,1.6643,1.5758,1.6634,1.7008,1.7047,1.699,1.6913,1.6483,1.6451,1.6488,1.6499,1.6156,1.622,1.6196,1.6055,1.6037,1.5918,1.5916,1.5437,1.5327,1.5011,1.4129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,1.788,1.7882,1.7921,1.81,1.81,1.835,1.835,1.8613,1.8747,1.8982,1.9397,1.9575,1.9686,1.9974,1.9975,2.0222,2.0394,2.1467,2.1468,2.1865,2.2596,2.2991,2.3276,2.3408,2.345,2.2465,2.2061,1.9484,1.7927,1.7274,1.6366,1.6282,1.6276,1.6206,1.5382,1.5397,1.55,1.5523,1.5606,1.5171,1.4654,1.5426,1.6144,1.6185,1.6905,1.698,1.701,1.7072,1.7077,1.6944,1.7051,1.7187,1.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1.698,1.7006,1.7119,1.7873,1.8295,1.8652,1.8704,1.9209,1.9757,1.985,1.9475,1.9425,1.973,2.0156,2.0784,2.2363,2.3547,2.3697,2.6228,2.6369,3.2494,3.3106,3.4511,3.7207,3.8077,3.8848,3.9063,3.8918,2.8871,2.6807,2.1906,1.7289,1.6743,1.6736,1.6672,1.6695,1.6466,1.6343,1.6383,1.6566,1.6769,1.6844,1.6776,1.6941,1.6904,1.6591,1.6652,1.6641,1.7189,1.7675,1.8069,1.82,1.8203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
