Device,Device_ID
size010_length010,1
size010_length020,2
size010_length030,3
size015_length010,4
size015_length020,5
size015_length025,6
size015_length030,7
size015_length040,8
size020_length010,9
size020_length020,10
size020_length025,11
size020_length030,12
size020_length040,13
size020_length045,14
size020_length050,15
size020_length060,16
size020_length080,17
size020_length100,18
size025_length020,19
size025_length025,20
size025_length030,21
size025_length035,22
size025_length040,23
size025_length050,24
size025_length060,25
size025_length080,26
size030_length030,27
size030_length040,28
size030_length045,29
size030_length050,30
size030_length054,31
size030_length060,32
size030_length080,33
size030_length090,34
size030_length100,35
size030_length120,36
size030_length150,37
size030_length200,38
size035_length050,39
size035_length060,40
size035_length075,41
size035_length080,42
size035_length090,43
size035_length100,44
size036_length060,45
size040_length020,46
size040_length040,47
size040_length050,48
size040_length060,49
size040_length070,50
size040_length075,51
size040_length080,52
size040_length100,53
size040_length120,54
size040_length130,55
size040_length150,56
size040_length300,57
size045_length080,58
size045_length100,59
size045_length120,60
size045_length210,61
size050_length050,62
size050_length060,63
size050_length080,64
size050_length090,65
size050_length100,66
size050_length120,67
size050_length130,68
size050_length150,69
size050_length170,70
size050_length200,71
size050_length300,72
size060_length080,73
size060_length100,74
size060_length110,75
size060_length119,76
size060_length120,77
size060_length122,78
size060_length150,79
size060_length190,80
size060_length200,81
size070_length100,82
size070_length120,83
size070_length150,84
size070_length200,85
size070_length210,86
size070_length250,87
size070_length300,88
size080_length080,89
size080_length136,90
size080_length150,91
size080_length170,92
size080_length200,93
size080_length240,94
size080_length250,95
size080_length300,96
size080_length330,97
size090_length150,98
size090_length200,99
size090_length250,100
size090_length300,101
size090_length310,102
size100_length171,103
size100_length300,104
size100_length360,105
size100_length400,106
size110_length300,107
size120_length300,108
size120_length400,109
size120_length450,110
size130_length300,111
size140_length300,112
size140_length400,113
size140_length500,114
size160_length300,115
size160_length400,116
size160_length500,117
size180_length300,118
size180_length500,119
size200_length300,120
size200_length330,121
size200_length500,122
size220_length400,123
size220_length500,124
size240_length200,125
size240_length300,126
size240_length400,127
size260_length200,128
size300_length200,129
