Device,Device_ID
size010_length010,1
size010_length020,2
size010_length030,3
size015_length010,4
size015_length020,5
size015_length025,6
size015_length030,7
size015_length040,8
size020_length010,9
size020_length020,10
size020_length025,11
size020_length030,12
size020_length040,13
size020_length045,14
size020_length050,15
size020_length060,16
size020_length080,17
size020_length100,18
size025_length020,19
size025_length025,20
size025_length030,21
size025_length035,22
size025_length040,23
size025_length050,24
size025_length060,25
size025_length080,26
size030_length030,27
size030_length040,28
size030_length045,29
size030_length050,30
size030_length054,31
size030_length060,32
size030_length080,33
size030_length090,34
size030_length100,35
size030_length120,36
size030_length150,37
size030_length200,38
size035_length050,39
size035_length060,40
size035_length075,41
size035_length080,42
size035_length090,43
size035_length100,44
size036_length060,45
size040_length020,46
size040_length040,47
size040_length050,48
size040_length060,49
size040_length070,50
size040_length075,51
size040_length080,52
size040_length090,53
size040_length100,54
size040_length120,55
size040_length130,56
size040_length150,57
size040_length200,58
size040_length300,59
size045_length080,60
size045_length100,61
size045_length120,62
size045_length210,63
size050_length050,64
size050_length060,65
size050_length080,66
size050_length090,67
size050_length100,68
size050_length120,69
size050_length130,70
size050_length150,71
size050_length170,72
size050_length200,73
size050_length300,74
size060_length080,75
size060_length100,76
size060_length110,77
size060_length119,78
size060_length120,79
size060_length122,80
size060_length150,81
size060_length190,82
size060_length200,83
size070_length100,84
size070_length120,85
size070_length139,86
size070_length150,87
size070_length200,88
size070_length210,89
size070_length250,90
size070_length300,91
size080_length080,92
size080_length100,93
size080_length136,94
size080_length150,95
size080_length170,96
size080_length200,97
size080_length240,98
size080_length250,99
size080_length300,100
size080_length330,101
size090_length150,102
size090_length200,103
size090_length250,104
size090_length300,105
size090_length310,106
size100_length171,107
size100_length200,108
size100_length300,109
size100_length340,110
size100_length360,111
size100_length400,112
size110_length300,113
size120_length300,114
size120_length400,115
size120_length450,116
size130_length300,117
size140_length300,118
size140_length400,119
size140_length500,120
size160_length100,121
size160_length300,122
size160_length400,123
size160_length500,124
size180_length300,125
size180_length400,126
size180_length500,127
size200_length300,128
size200_length330,129
size200_length500,130
size220_length400,131
size220_length500,132
size240_length200,133
size240_length300,134
size240_length400,135
size260_length200,136
size280_length200,137
size300_length200,138
